"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","MBAHNTH","35.568748",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","MLSP1","9.9840",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","MLWF1","0.69",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","PALOONA","12.82",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","PIONEER","-1.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","PORTWF","8.80",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","REPULSE","15.099718",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","ROWALLAN","-0.004929",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","ROYALLA1","15.882001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","SHOAL1","43.574997",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","WAUBRAWF","30.148001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","WOOLNTH1","1.38",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","YAMBUKWF","6.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","YSWF1","0.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","BARCSF1","7.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CAPTL_WF","16.123293",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CHALLHWF","1.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CLOVER","-0.02",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CLUNY","9.239185",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CONDONG1","19.709999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","CULLRGWF","6.53",NA,NA,NA
